1stFlrSF,2ndFlrSF,BedroomAbvGr,BsmtFinSF1,BsmtUnfSF,EnclosedPorch,GarageArea,GarageYrBlt,GrLivArea,KitchenQual,LotArea,LotFrontage,MasVnrArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,WoodDeckSF,YearBuilt,YearRemodAdd,SalePrice,BsmtExposure_Gd,BsmtExposure_Mn,BsmtExposure_No,BsmtFinType1_BLQ,BsmtFinType1_GLQ,BsmtFinType1_LwQ,BsmtFinType1_Rec,BsmtFinType1_Unf,GarageFinish_RFn,GarageFinish_Unf
1234,0,3,0,1234,0,484,2007,1234,4,11049,85,0,30,5,8,1234,,2007,2007,179900,False,False,False,False,False,False,False,True,True,False
1700,0,4,1018,380,,447,1959,1700,4,10552,70,0,38,5,5,1398,,1959,1959,165500,False,False,True,False,False,False,True,False,True,False
1561,0,2,1153,408,,556,2005,1561,5,7313,60,246,47,5,9,1561,203,2005,2005,277500,False,False,True,False,True,False,False,False,False,False
1132,1320,4,0,1117,,691,2004,2452,4,13418,108,132,32,5,8,1117,,2004,2005,309000,False,False,False,False,False,False,False,True,False,False
1097,0,3,0,1097,,672,1995,1097,3,10859,112,0,64,5,5,1097,,1994,1995,145000,False,False,True,False,False,False,False,True,False,True
1297,0,,1213,84,0,498,1954,1297,3,8532,74,650,0,6,5,1297,,1954,1990,153000,False,False,True,False,False,False,True,False,False,False
1057,0,3,731,326,,246,1953,1057,4,7922,68,0,52,7,5,1057,,1953,2007,109000,False,False,True,False,True,False,False,False,False,True
1152,0,,0,0,,0,,1152,2,6040,65,0,0,5,4,0,,1955,1955,82000,False,False,False,False,False,False,False,False,False,False
1324,0,3,643,445,,440,1965,1324,3,8658,84,101,138,5,6,1088,0,1965,1965,160000,False,False,True,False,False,False,True,False,False,False
1328,,2,967,383,,308,1959,1328,3,16905,115,0,104,6,5,1350,,1959,1959,170000,True,False,False,True,False,False,False,False,False,False
884,0,2,747,0,,504,1983,884,4,9180,,0,0,7,5,840,240,1983,1983,144000,False,False,False,False,False,False,False,False,True,False
938,0,3,280,167,,308,1977,938,3,9200,,0,0,6,5,938,145,1975,1980,130250,False,False,False,False,False,True,False,False,False,True
1150,0,3,179,465,,300,1959,1150,3,7945,70,0,0,6,5,1150,,1959,1959,141000,False,False,True,False,False,False,False,False,True,False
1752,0,2,456,1296,,576,2005,1752,5,7658,61,412,82,5,9,1752,,2005,2005,319900,False,False,True,False,True,False,False,False,True,False
1518,631,1,1351,83,,670,2003,2149,4,12822,48,0,43,5,7,1434,,2003,2003,239686,False,False,True,False,True,False,False,False,True,False
1656,0,3,24,1632,,826,2006,1656,4,11096,84,0,146,5,8,1656,,2006,2006,249700,False,False,False,False,True,False,False,False,False,False
736,716,2,0,736,,0,,1452,3,4456,33,0,0,5,4,736,,1920,2008,113000,False,False,True,False,False,False,False,True,False,False
955,0,3,763,192,,386,1966,955,3,7742,66,0,0,7,5,955,,1966,1966,127000,False,False,True,True,False,False,False,False,False,True
794,676,,182,612,,388,1997,1470,3,13869,,0,75,6,6,794,,1997,1997,177000,False,False,False,False,True,False,False,False,False,False
816,0,3,0,816,,528,1985,1176,3,6240,52,0,0,6,6,816,,1934,1950,114500,False,False,True,False,False,False,False,True,False,True
816,0,2,104,0,,516,1963,816,3,8472,110,0,0,5,5,816,,1963,1963,110000,True,False,False,False,False,True,False,False,False,True
1842,0,0,1810,32,,894,1981,1842,4,50271,68,0,72,5,9,1842,,1981,1987,385000,True,False,False,False,True,False,False,False,False,False
1360,0,,384,0,,572,1962,1360,3,7134,60,0,50,5,5,384,,1955,1955,130000,False,False,True,False,False,False,False,False,False,True
1425,0,3,490,935,,576,1964,1425,3,10175,100,272,0,5,6,1425,,1964,1964,180500,False,False,True,False,False,False,False,False,True,False
983,756,3,649,321,,480,1999,1739,4,2645,24,456,0,5,8,970,,1999,2000,172500,False,False,True,False,True,False,False,False,False,False
860,,3,0,860,,565,2004,1720,4,11645,89,0,70,5,7,860,,2004,2004,196500,False,False,True,False,False,False,False,True,True,False
1426,1519,3,0,1410,,641,2006,2945,4,13682,66,1031,0,5,10,1410,,2006,2006,438780,True,False,False,False,False,False,False,True,False,False
780,0,2,632,148,,352,1973,780,3,7200,60,0,0,7,5,780,196,1972,1972,124900,False,False,False,False,False,False,False,False,False,True
1158,0,3,941,217,,576,2006,1158,4,13072,63,0,50,5,6,1158,,2004,2004,158000,False,False,True,False,False,False,False,False,False,True
581,530,3,0,530,,288,1935,1111,2,7200,60,0,0,7,5,530,,1920,1996,101000,False,False,True,False,False,False,False,True,False,True
1370,0,2,24,1346,,484,2006,1370,4,6442,44,178,49,5,8,1370,,2006,2006,202500,False,True,False,False,True,False,False,False,True,False
902,808,3,0,576,,480,1990,1710,3,10300,50,0,11,6,7,576,,1921,1950,140000,False,False,True,False,False,False,False,True,False,True
1057,977,,739,318,0,645,1998,2034,4,9375,,573,36,5,7,1057,,1997,1998,219500,False,False,True,False,True,False,False,False,True,False
1143,1330,4,0,1143,,852,2004,2473,4,9591,76,344,151,5,8,1143,,2004,2005,317000,False,False,False,False,False,False,False,True,False,False
2207,0,3,912,1035,,576,1970,2207,3,19900,,287,0,5,7,1947,,1970,1989,180000,True,False,False,False,True,False,False,False,True,False
1479,0,3,1013,440,,558,2003,1479,4,10665,72,167,29,5,7,1453,,2003,2003,226000,False,False,False,False,True,False,False,False,True,False
747,0,2,0,747,,220,1945,747,3,4608,47,0,0,6,4,747,,1945,1950,80000,False,False,True,False,False,False,False,True,False,True
1304,983,,603,701,,667,1953,2287,3,15593,81,0,21,4,7,1304,,1953,1953,225000,False,False,True,True,False,False,False,False,False,False
2223,0,3,1880,343,,516,1973,2223,3,13651,95,1115,0,6,7,2223,300,1973,1973,244000,True,False,False,False,False,False,False,False,False,False
845,0,2,565,280,0,360,1987,845,3,7599,69,0,0,6,4,845,,1982,2006,129500,False,False,True,False,False,False,False,False,False,True
885,833,3,0,832,,427,1998,1718,3,10141,74,40,94,5,7,832,,1998,1998,185000,False,False,True,False,False,False,False,True,False,False
1086,0,3,320,404,0,490,1989,1086,3,10200,85,104,0,7,5,1086,,1954,2003,144900,False,False,True,False,False,False,False,False,False,True
840,765,3,0,840,,379,1915,1605,3,5790,60,0,0,6,3,840,0,1915,1950,107400,False,False,True,False,False,False,False,True,False,True
526,462,2,462,0,,297,1973,988,3,1596,21,0,101,5,4,462,,1973,1973,91000,True,False,False,False,True,False,False,False,False,True
952,0,2,228,724,,283,1956,952,3,8475,,0,0,7,4,952,,1956,1956,135750,False,False,True,False,False,False,False,False,False,True
1072,213,2,336,295,,240,1948,1285,3,8635,50,0,0,5,5,672,,1948,2001,127000,False,False,True,True,False,False,False,False,False,True
1768,0,4,0,1768,,0,,1768,3,10778,72,0,0,5,4,1768,,1968,1968,136500,False,False,True,False,False,False,False,True,False,False
682,548,2,0,440,,440,1966,1230,3,10440,60,0,0,6,5,440,,1910,1981,110000,False,False,True,False,False,False,False,True,False,True
1182,960,,448,448,,509,1968,2142,4,13000,100,576,72,6,6,896,,1968,1968,193500,False,False,True,False,False,False,True,False,False,False
1337,0,2,1201,36,,405,1998,1337,3,4500,32,443,199,5,6,1237,,1998,1998,153500,False,False,True,False,True,False,False,False,False,False
1563,0,3,33,1530,,758,2007,1563,4,10206,78,468,99,5,8,1563,,2007,2007,245000,False,False,True,False,True,False,False,False,True,False
1065,0,3,0,1065,,461,1974,1065,3,8892,80,66,0,5,5,1065,,1960,1960,126500,False,False,True,False,False,False,False,True,False,True
804,670,3,0,384,,400,1995,1474,3,8530,,22,72,5,7,384,120,1995,1996,168500,False,False,True,False,False,False,False,True,False,False
1301,1116,4,0,1288,,462,1991,2417,4,16059,121,284,82,5,8,1288,127,1991,1992,260000,False,False,True,False,False,False,False,True,False,True
684,876,3,0,684,,400,2005,1560,4,11911,122,0,38,5,6,684,,2005,2005,174000,False,False,False,False,False,False,False,True,False,False
612,612,,0,612,,528,2009,1224,4,3951,40,76,234,5,6,612,,2009,2009,164500,False,False,False,False,False,False,False,True,True,False
1013,0,2,0,1013,,0,,1526,2,8470,105,0,0,2,3,1013,,1915,1982,85000,False,False,True,False,False,False,False,True,False,False
990,0,3,588,402,,0,,990,3,8070,60,0,0,5,4,990,,1994,1995,123600,False,False,True,False,False,False,False,False,False,False
1040,0,2,0,0,,420,1950,1040,3,7200,60,0,29,5,4,0,,1950,1950,109900,False,False,False,False,False,False,False,False,False,True
1235,0,2,600,635,0,480,1961,1235,3,8500,85,203,0,3,5,1235,,1961,1961,98600,False,False,True,False,False,False,True,False,False,True
964,0,2,713,163,,432,1921,964,3,13360,80,0,0,7,5,876,,1921,2006,163500,False,False,True,False,False,False,False,False,False,True
1260,1031,4,1046,168,,506,1900,2291,3,7200,60,0,0,6,6,1214,,1910,1998,133900,False,True,False,False,False,False,True,False,False,True
905,881,3,648,176,,684,1997,1786,4,9337,69,0,162,5,6,824,,1997,1997,204750,False,False,True,False,True,False,False,False,True,False
680,790,3,310,370,,420,1993,1470,3,9765,,68,63,8,6,680,,1993,1993,185000,False,False,True,False,False,False,False,False,False,False
1588,,,1162,426,,472,1999,1588,4,10264,78,183,29,5,7,1588,,1999,1999,214000,False,False,False,False,False,False,False,False,True,False
960,0,3,520,440,,432,1965,960,3,10921,73,48,0,5,4,960,,1965,1965,94750,False,False,True,False,False,False,True,False,False,False
835,0,2,108,350,,366,1920,835,3,10625,85,0,0,5,5,458,0,1920,1950,83000,False,False,True,False,False,False,False,False,False,True
1225,0,3,569,381,,0,,1225,3,9320,77,0,0,5,4,950,,1959,1959,128950,False,False,True,False,False,False,False,False,False,False
1610,0,3,1200,410,,480,1977,1610,4,10603,,28,68,7,6,1610,,1977,2001,205000,False,True,False,False,False,False,False,False,True,False
977,755,3,0,741,,476,1985,1732,4,9206,77,336,46,5,6,741,,1985,1985,178000,False,False,True,False,False,False,False,False,False,False
1535,0,4,0,0,,410,1979,1535,3,7018,64,0,0,5,5,0,,1979,1979,118964,False,False,False,False,False,False,False,False,False,True
1226,0,,0,1226,,740,2009,1226,4,10402,94,0,36,5,7,1226,,2009,2009,198900,False,False,True,False,False,False,False,True,True,False
1226,592,4,224,816,,240,1951,1818,3,7758,,600,0,4,7,1040,,1931,1950,169500,False,False,True,False,False,True,False,False,False,False
1053,,3,0,1053,,648,2003,1992,4,9375,75,768,45,5,8,1053,,2003,2004,250000,False,False,True,False,False,False,False,True,True,False
1047,0,2,0,641,,273,1954,1047,3,10800,60,0,0,7,4,641,,1885,1995,100000,False,False,True,False,False,False,False,True,False,True
789,0,2,104,516,,250,1948,789,3,6000,50,0,0,5,5,789,,1948,1950,115000,False,False,True,False,False,False,False,False,False,True
997,,3,0,793,,0,,1517,2,8500,85,0,0,7,5,793,,1919,2005,115000,False,False,True,False,False,False,False,True,False,False
1844,0,3,705,1139,,546,1977,1844,3,11751,105,480,122,6,6,1844,,1977,1977,190000,False,False,True,True,False,False,False,False,True,False
1216,639,4,444,550,,325,1954,1855,3,9525,75,0,0,4,6,994,,1954,1972,136900,False,False,True,False,False,False,True,False,False,True
774,656,3,250,134,,400,2000,1430,3,7750,,0,0,5,7,384,,2000,2000,180000,False,False,True,False,True,False,False,False,False,False
1282,1414,4,984,280,,792,2007,2696,5,9965,77,220,184,5,7,1264,,2007,2007,383970,False,False,False,False,True,False,False,False,False,False
2259,0,3,35,905,,450,1953,2259,4,21000,,184,120,5,6,1809,,1953,1953,217000,False,True,False,False,False,False,False,False,False,True
1436,884,3,774,104,,180,1945,2320,4,7259,61,0,0,8,6,1028,,1945,2002,259500,False,False,True,False,False,False,False,False,False,True
729,729,2,419,310,,440,1999,1458,3,3230,34,1129,32,5,6,729,,1999,1999,176000,False,False,True,False,True,False,False,False,False,True
1092,0,3,170,252,,288,1962,1092,3,11616,,116,20,5,5,1092,,1962,1962,139000,False,False,True,False,False,True,False,False,False,True
1125,0,2,0,1125,,430,2007,1125,3,8536,74,0,64,5,5,1125,,2006,2007,155000,False,False,True,False,False,False,False,True,False,True
1699,1523,5,1470,203,,594,1990,3222,4,12376,90,0,0,5,7,1673,,1990,1990,320000,False,True,False,False,True,False,False,False,False,True
728,728,3,0,728,,390,2005,1456,4,8461,65,0,24,5,6,728,,2005,2006,163990,False,False,True,False,False,False,False,True,False,False
988,0,1,938,0,,540,1969,988,3,21453,,0,130,5,6,938,0,1969,1969,180000,True,False,False,False,False,False,False,False,False,True
772,351,3,0,732,,264,1979,1123,3,6060,50,0,0,5,4,732,,1939,1950,100000,False,False,True,False,False,False,False,True,False,True
1080,0,3,570,510,,288,1958,1080,3,9464,75,135,0,7,6,1080,,1958,1958,136000,False,False,True,True,False,False,False,False,False,True
1199,0,2,300,899,,530,1993,1199,4,7892,55,0,63,5,6,1199,,1993,1993,153900,False,False,True,False,True,False,False,False,True,False
1586,0,3,0,1362,,435,1979,1586,3,17043,48,0,0,5,6,1362,192,1979,1998,181000,False,False,True,False,False,False,False,False,False,True
520,0,2,490,30,,0,,754,3,6780,60,0,0,8,6,520,,1935,1982,84500,False,False,False,False,True,False,False,False,False,False
958,,2,120,958,,440,1977,958,3,4928,,0,205,5,6,1078,0,1976,1976,128000,False,False,True,False,False,False,False,False,True,False
840,0,3,116,556,,0,,840,3,4388,55,0,0,7,5,672,,1930,1950,87000,False,False,True,False,False,True,False,False,False,False
660,688,3,512,148,,453,1966,1348,3,7590,69,266,108,5,6,660,,1966,1966,155000,False,False,True,True,False,False,False,False,True,False
1053,,3,567,413,,750,1998,1053,5,8973,69,85,80,7,5,1008,,1958,1991,150000,False,False,True,False,False,False,True,False,True,False
1216,941,4,445,479,,487,1966,2157,4,14200,88,309,66,6,7,924,,1966,1966,226000,False,False,True,False,False,False,True,False,False,False
1022,1032,3,695,297,,390,2000,2054,4,12224,,40,48,5,6,992,,2000,2000,244000,False,False,True,False,True,False,False,False,True,False
1327,0,,405,658,,624,1974,1327,4,7388,75,0,0,6,5,1063,,1959,2002,150750,False,False,True,False,False,False,True,False,False,True
1296,0,2,1005,262,,471,2001,1296,4,6853,,136,25,5,8,1267,,2001,2002,220000,False,False,True,False,True,False,False,False,False,False
1721,0,3,570,891,,440,1968,1721,3,10335,78,0,96,6,5,1461,,1968,1993,180000,False,False,True,False,False,False,True,False,True,False
1682,0,3,0,1304,,530,1970,1682,3,10400,80,288,0,6,7,1304,,1970,1970,174000,False,False,True,False,False,False,False,True,False,True
1214,,,695,519,0,318,1967,1214,3,10355,,196,111,5,5,1214,,1967,1967,143000,False,False,True,True,False,False,False,False,True,False
1959,0,5,0,1907,,766,1989,1959,3,11070,82,70,0,5,7,1907,,1988,1989,171000,False,False,True,False,False,False,False,True,False,True
1004,848,3,668,336,,660,1999,1852,4,9066,73,320,106,5,8,1004,,1999,2000,230000,False,True,False,False,True,False,False,False,False,False
928,836,3,821,107,,470,1997,1764,4,15426,65,0,99,5,6,928,,1997,1997,231500,False,False,True,False,True,False,False,False,True,False
864,0,3,432,432,,0,,864,3,10500,70,0,0,5,4,864,,1971,1971,115000,False,False,True,False,False,False,False,False,False,False
1734,0,3,1300,434,,660,2005,1734,4,11645,78,0,24,5,7,1734,,2005,2005,260000,False,False,False,False,True,False,False,False,False,False
910,,4,507,403,,720,2000,1385,3,8520,71,0,0,4,5,910,,1952,1952,166000,False,False,True,False,False,False,True,False,False,True
1501,0,3,679,811,,577,1999,1501,4,10335,78,183,29,5,7,1490,,1999,1999,204000,True,False,False,False,True,False,False,False,True,False
1728,0,6,1332,396,,504,1963,1728,3,9100,70,336,0,5,5,1728,0,1963,1963,125000,False,False,True,False,False,False,True,False,False,True
970,739,3,0,970,,380,2004,1709,4,2522,24,50,40,5,6,970,,2004,2006,130000,False,False,True,False,False,False,False,True,False,True
875,0,2,209,506,,180,1931,875,3,6120,51,0,0,7,5,715,,1931,1993,105000,False,False,True,True,False,False,False,False,False,True
884,1151,3,0,884,,434,2001,2035,4,9505,,180,48,5,7,884,,2001,2001,222500,False,False,True,False,False,False,False,True,False,False
1080,0,3,680,400,0,0,,1080,4,7500,63,120,0,5,7,1080,,2004,2005,141000,False,False,True,False,True,False,False,False,False,False
896,448,3,0,896,,240,1936,1344,3,6240,,0,114,4,5,896,,1936,1950,115000,False,False,True,False,False,False,False,True,False,False
969,0,3,716,253,,440,1975,969,3,10356,120,0,0,6,5,969,,1975,1975,122000,False,False,False,True,False,False,False,False,False,True
1710,0,2,1400,310,,866,2007,1710,4,13891,107,436,102,5,8,1710,,2007,2008,372402,True,False,False,False,False,False,False,False,True,False
1097,896,4,416,409,,495,1971,1993,3,14803,,252,66,5,6,825,,1971,1971,190000,False,False,True,False,False,False,True,False,True,False
1252,0,1,429,93,,564,1960,1252,3,13500,,0,0,7,6,1602,,1960,1975,235000,True,False,False,True,False,False,False,False,True,False
1200,0,4,0,1200,,312,1923,1200,3,11340,84,0,0,5,6,1200,,1923,1950,125000,False,False,True,False,False,False,False,True,False,True
572,524,2,0,572,,0,,1096,3,9600,60,0,8,5,6,572,,1924,1950,79000,False,False,True,False,False,False,False,True,False,False
1040,0,2,0,0,,625,1950,1040,3,7200,60,0,0,7,5,0,,1950,1950,109500,False,False,False,False,False,False,False,False,False,True
774,1194,4,0,774,,680,2009,1968,5,12003,92,84,75,5,8,774,,2009,2010,269500,False,False,True,False,False,False,False,False,False,False
991,956,3,222,769,,678,2004,1947,4,12552,100,0,136,5,7,991,,2004,2005,254900,False,False,True,False,True,False,False,False,True,False
1392,1070,4,57,1335,,576,2006,2462,4,19378,134,456,132,5,7,1392,,2005,2006,320000,False,True,False,False,True,False,False,False,True,False
1232,0,3,660,572,,516,1984,1232,3,11120,,0,0,6,6,1232,,1984,1984,162500,False,False,True,True,False,False,False,False,False,True
1572,1096,3,1016,556,,726,2003,2668,5,13688,110,664,0,5,9,1572,,2003,2004,412500,False,False,False,False,True,False,False,False,False,False
1541,0,3,1201,340,,532,2005,1541,4,12182,95,226,70,5,7,1541,,2005,2005,220000,False,True,False,False,False,False,False,False,False,False
882,0,1,0,882,,0,,882,3,5500,55,0,0,6,4,882,,1956,1956,103200,False,False,True,False,False,False,False,True,False,False
1149,467,3,370,779,,216,1926,1616,4,5400,40,0,0,7,6,1149,,1926,2004,152000,False,True,False,False,False,True,False,False,False,True
808,547,4,351,112,,0,,1355,3,10106,62,0,0,7,5,644,,1940,1999,127500,False,False,True,False,False,False,False,False,False,False
1867,0,2,379,470,,303,1955,1867,3,10708,,0,0,5,5,1617,,1955,1993,190000,False,False,True,False,False,True,False,False,False,False
1610,551,3,1288,294,,789,2007,2161,5,10562,86,300,120,5,8,1582,,2007,2007,325624,False,False,True,False,True,False,False,False,False,False
840,880,3,0,840,,440,2004,1720,4,8244,62,0,48,5,7,840,,2004,2004,183500,False,False,True,False,False,False,False,True,False,False
1707,0,2,0,1686,,511,1981,1707,3,16669,,653,64,6,8,1686,,1981,1981,228000,False,False,True,False,False,False,False,True,True,False
854,0,2,360,360,,660,1991,1382,3,12358,,0,0,6,5,720,,1941,1950,128500,False,False,True,False,False,False,True,False,False,False
1656,0,3,639,441,,528,1960,1656,3,31770,141,112,62,5,6,1080,,1960,1960,215000,True,False,False,True,False,False,False,False,False,False
1064,703,2,495,354,,504,1987,1767,4,5306,44,0,35,7,7,1064,,1987,1987,239000,False,False,True,False,True,False,False,False,True,False
1362,0,,288,700,,504,1961,1362,3,10197,80,491,20,5,6,1362,,1961,1961,163000,False,False,True,False,False,False,False,False,False,False
1651,0,3,1398,0,,616,1986,1651,3,12416,47,132,0,5,6,1606,,1986,1986,184000,False,False,True,False,False,False,False,False,False,False
2158,0,4,477,725,,576,1950,2158,4,12615,84,0,29,7,6,1202,,1950,2001,243000,False,False,False,False,False,False,False,False,False,True
1164,896,4,831,320,,521,1988,2060,3,10029,97,268,228,5,6,1151,0,1988,1989,211000,False,False,True,False,True,False,False,False,False,False
1252,668,4,57,554,,451,1958,1920,4,13650,,0,0,5,5,1052,,1958,1958,172500,False,False,True,False,False,False,False,False,False,True
2234,0,1,1904,312,,1166,2009,2234,5,17423,63,748,60,5,9,2216,,2008,2009,501837,False,False,True,False,True,False,False,False,False,False
968,0,2,0,968,,480,1935,968,3,8520,60,0,0,6,5,968,,1923,2006,100000,False,False,True,False,False,False,False,True,False,True
769,756,3,436,320,,440,2000,1525,4,2117,,456,0,5,6,756,,2000,2000,177000,False,False,True,False,True,False,False,False,False,True
901,901,4,352,441,,216,1920,1802,3,7588,54,0,0,6,7,793,0,1920,1950,200100,False,False,True,False,False,True,False,False,False,True
1340,0,3,0,0,,252,1957,1340,3,9060,60,98,0,6,5,0,,1957,2006,120000,False,False,False,False,False,False,False,False,False,False
1362,720,3,0,1362,,484,2003,2082,4,11426,63,0,238,5,7,1362,,2003,2003,200000,False,False,True,False,False,False,False,True,False,True
936,316,3,0,504,,576,1986,1252,3,7438,92,0,0,8,5,504,104,1908,1991,127000,False,False,True,False,False,False,False,True,False,True
1518,1518,4,0,1107,,840,1993,3608,5,22950,90,0,260,9,10,1107,,1892,1993,475000,False,True,False,False,False,False,False,True,False,True
1217,0,3,611,577,,497,1990,1217,4,9947,,0,27,5,7,1188,,1990,1991,173000,False,False,False,False,True,False,False,False,False,True
808,704,3,0,660,,180,1916,1656,3,10410,60,0,0,7,5,660,0,1916,1987,135000,False,False,True,False,False,False,False,True,False,True
1224,0,2,1086,0,,528,1979,1224,3,7018,64,275,0,5,5,1086,,1979,1979,153337,False,False,False,False,True,False,False,False,False,True
1593,0,0,1153,440,,682,2001,1593,5,4923,41,0,120,5,8,1593,,2001,2002,286000,False,False,False,False,True,False,False,False,False,False
1549,1178,3,297,556,,440,1932,2727,4,10570,70,0,74,8,8,853,,1932,1994,315000,False,False,True,False,False,False,True,False,False,True
725,754,4,626,99,,484,1972,1479,4,7472,,138,32,9,7,725,,1972,2004,184000,False,False,True,False,False,False,False,False,False,False
1431,0,3,560,871,,666,1999,1431,4,9017,68,0,35,5,7,1431,,1999,1999,192000,False,False,False,False,True,False,False,False,False,False
970,739,,0,970,,380,2004,1709,4,2522,24,50,40,5,7,970,,2004,2004,130000,False,False,True,False,False,False,False,True,False,True
864,0,3,390,474,,352,1989,864,3,7180,60,0,0,7,5,864,,1972,1972,127000,False,False,False,False,False,False,False,False,False,True
855,,3,566,289,,440,1976,1456,3,2280,24,0,0,6,6,855,,1976,1976,148500,False,False,True,False,False,False,False,False,False,False
1726,0,3,1126,600,0,786,2007,1726,5,9416,79,205,138,5,7,1726,,2007,2007,311872,False,False,True,False,False,False,False,False,False,False
1360,1360,,1036,140,,795,1918,3112,4,25419,174,0,16,4,8,1360,,1918,1990,235000,False,False,True,False,False,False,False,False,False,True
929,929,5,0,755,,0,,2229,3,5520,92,0,198,6,6,755,,1912,1950,104000,False,False,True,False,False,False,False,True,False,False
